date,close,open,high,low,volume,symbol
2023-11-29,203.1,212.9,212.9,202.5,1997,HPPL
2023-11-29,392.0,402.8,402.8,387.0,10715,NRN
2023-11-29,210.0,210.2,214.0,210.0,8809,RADHI
2023-11-29,503.7,510.0,520.0,500.0,51028,ILI
2023-11-29,720.0,738.0,738.0,710.6,2770,SPIL
2023-11-29,337.2,342.0,353.0,336.0,3450,SMHL
2023-11-29,800.8,810.2,826.0,800.7,4817,NIL
2023-11-29,99.2,101.2,101.2,98.0,32006,HIDCLP
2023-11-29,496.4,502.0,512.0,494.0,12888,SJLIC
2023-11-29,205.0,209.0,214.0,205.0,2981,BHL
2023-11-29,250.0,244.0,250.0,244.0,9476,SHEL
2023-11-29,201.0,202.0,206.0,200.0,13175,UPPER
2023-11-29,189.0,186.4,200.0,186.4,40538,NIFRA
2023-11-29,159.0,160.0,162.0,158.0,10953,HIDCL
2023-11-29,455.0,458.5,483.4,455.0,55140,SGIC
2023-11-29,180.5,185.3,185.3,178.5,31041,UPCL
2023-11-29,150.0,151.9,152.0,148.0,1485,AKJCL
2023-11-29,208.0,210.0,211.0,205.1,16175,AHPC
2023-11-29,247.5,246.2,255.0,246.2,3488,SJCL
2023-11-29,203.7,208.0,208.0,200.6,18563,NGPL
2023-11-29,238.0,241.5,253.0,233.0,43074,NRM
2023-11-29,146.0,148.1,148.5,143.7,2333,DHPL
2023-11-29,450.0,460.0,461.0,450.0,13526,SAHAS
2023-11-29,158.0,159.0,159.0,157.0,31324,PRVU
2023-11-29,476.5,488.0,488.0,475.9,8678,CHCL
2023-11-29,170.0,170.0,172.0,167.1,2315,UNHPL
2023-11-29,472.0,490.0,490.0,472.0,6581,EBL
2023-11-29,664.0,653.0,679.4,653.0,6598,SALICO
2023-11-29,1420.0,1410.0,1420.0,1397.0,3035,LICN
2023-11-29,1979.8,1999.0,1999.0,1966.0,4306,CIT
2023-11-29,810.0,800.0,820.0,800.0,440,SHLB
2023-11-29,268.9,275.0,275.0,263.6,6234,SFCL
2023-11-29,241.8,243.0,264.9,240.1,9867,ADBL
2023-11-29,201.3,196.0,204.0,194.5,1660,NYADI
2023-11-29,207.9,210.0,216.0,207.9,1580,GLH
2023-11-29,121.6,122.0,124.0,121.0,135179,HDHPC
2023-11-29,145.0,148.0,148.3,145.0,29435,LEC
2023-11-29,152.0,155.0,155.0,150.1,29197,KBL
2023-11-29,160.0,162.1,165.3,160.0,83333,API
2023-11-29,265.0,262.6,272.3,260.0,7947,MBJC
2023-11-29,350.0,343.0,354.1,340.2,10125,AHL
2023-11-29,184.0,190.0,192.9,182.5,15210,RIDI
2023-11-29,188.5,191.2,198.0,188.5,3427,JOSHI
2023-11-29,982.0,979.0,999.0,960.1,1608,CYCL
2023-11-29,184.0,181.4,188.7,181.3,6137,UMHL
2023-11-29,178.8,182.2,182.2,176.1,4634,SPDL
2023-11-29,200.9,205.0,213.0,200.9,37995,MEHL
2023-11-29,799.0,811.1,830.0,795.0,4435,KDL
2023-11-29,336.0,338.5,339.0,332.0,2461,PFL
2023-11-29,348.0,344.0,350.0,332.0,2396,BHDC
2023-11-29,287.5,294.0,295.0,282.0,7750,PROFL
2023-11-29,511.9,517.0,520.0,508.9,46650,NABIL
2023-11-29,335.0,342.7,342.7,335.0,2295,NHDL
2023-11-29,181.5,178.8,184.9,178.8,25447,NIMB
2023-11-29,355.4,387.0,387.0,355.4,6054,BNHC
2023-11-29,485.0,493.0,503.0,485.0,30299,SHIVM
2023-11-29,550.4,556.5,568.0,550.3,1236,SWMF
2023-11-29,207.7,207.5,209.0,203.0,5698,RHGCL
2023-11-29,427.1,437.5,448.0,427.0,48163,HATHY
2023-11-29,202.3,203.0,213.9,202.0,3590,MKHC
2023-11-29,166.0,171.0,174.4,163.1,24342,MEL
2023-11-29,139.8,144.6,144.6,138.1,14653,SSHL
2023-11-29,588.0,581.0,627.0,575.5,4182,NICLBSL
2023-11-29,204.3,202.2,207.0,202.2,13075,NMB
2023-11-29,675.0,670.0,680.0,670.0,142,SLBSL
2023-11-29,280.0,279.2,286.2,275.9,21249,MMKJL
2023-11-29,165.0,172.0,172.0,165.0,26774,AKPL
2023-11-29,280.0,280.3,290.0,274.7,7973,MPFL
2023-11-29,214.0,215.3,226.0,209.9,13427,DOLTI
2023-11-29,226.4,243.0,243.0,215.5,4120,SGHC
2023-11-29,457.0,466.0,476.0,456.0,68524,RNLI
2023-11-29,187.0,192.0,194.0,184.5,2496,KKHC
2023-11-29,575.0,575.0,588.0,575.0,5169,FMDBL
2023-11-29,126.0,130.0,130.2,123.9,17387,GHL
2023-11-29,209.4,215.0,215.0,207.0,4009,PPCL
2023-11-29,248.0,251.0,268.2,246.0,13885,MCHL
2023-11-29,295.6,303.5,309.0,291.5,2606,NFS
2023-11-29,752.0,763.0,775.0,740.0,5624,SICL
2023-11-29,633.0,631.0,665.0,627.0,22882,NRIC
2023-11-29,165.0,161.0,166.0,161.0,13975,CZBIL
2023-11-29,340.2,358.0,371.0,340.2,2815,SPC
2023-11-29,301.0,302.0,304.0,301.0,2599,BPCL
2023-11-29,8.21,8.3,8.49,8.19,242800,LUK
2023-11-29,227.0,234.0,235.0,225.1,4156,SAPDBL
2023-11-29,385.1,385.4,392.9,385.0,10376,LBBL
2023-11-29,460.0,461.0,472.0,454.2,13253,SRLI
2023-11-29,1111.0,1130.0,1150.0,1110.0,2904,CGH
2023-11-29,132.0,136.6,136.6,131.0,23958,NHPC
2023-11-29,295.5,301.0,312.1,295.1,257018,SONA
2023-11-29,202.0,205.0,205.0,200.0,65716,GBIME
2023-11-29,549.0,546.0,555.0,540.2,311,HLBSL
2023-11-29,440.0,448.0,456.0,435.0,95174,CLI
2023-11-29,208.8,213.0,220.0,197.0,10038,DORDI
2023-11-29,208.7,210.0,210.1,202.5,5391,BARUN
2023-11-29,518.2,522.0,532.0,518.0,11777,MFIL
2023-11-29,322.2,340.0,340.0,322.2,2833,JFL
2023-11-29,210.0,209.8,217.0,205.0,3350,HHL
2023-11-29,330.9,322.8,342.0,320.1,2735,EHPL
2023-11-29,1272.0,1260.1,1274.0,1260.1,880,JBLB
2023-11-29,249.0,260.1,260.1,249.0,859,SINDU
2023-11-29,486.9,502.0,503.0,483.1,22503,IGI
2023-11-29,736.2,760.0,760.0,736.2,3659,NLG
2023-11-29,231.1,235.0,237.6,231.1,15030,PHCL
2023-11-29,11800.0,12030.1,12030.1,11720.4,750,BNT
2023-11-29,523.0,525.0,529.0,520.5,5622,SCB
2023-11-29,366.0,378.0,378.0,365.2,24046,GBBL
2023-11-29,308.0,315.0,321.0,305.9,18860,MLBL
2023-11-29,652.1,653.0,677.6,652.0,9808,PRIN
2023-11-29,788.0,791.0,791.0,775.3,460,KBSH
2023-11-29,934.8,919.4,939.5,918.9,3346,CHDC
2023-11-29,205.7,216.0,216.0,201.0,6077,PMHPL
2023-11-29,247.0,248.0,260.1,247.0,12100,TAMOR
2023-11-29,508.8,503.0,511.0,502.1,3164,RSDC
2023-11-29,219.0,220.0,225.0,217.0,5247,HURJA
2023-11-29,415.0,419.1,419.9,411.3,1117,GFCL
2023-11-29,1685.0,1708.0,1708.0,1670.0,9685,HDL
2023-11-29,238.2,238.0,241.5,238.0,26493,NBL
2023-11-29,313.0,320.5,325.0,313.0,12482,SHPC
2023-11-29,659.9,679.0,679.0,658.0,17007,NLIC
2023-11-29,214.8,215.0,220.3,211.5,4768,BEDC
2023-11-29,250.1,256.9,257.0,248.1,10285,MKHL
2023-11-29,357.0,358.0,376.0,356.0,15319,GVL
2023-11-29,480.1,475.0,500.0,467.0,311,NMBMF
2023-11-29,1028.9,1036.0,1036.0,1018.0,2016,FOWAD
2023-11-29,710.0,716.0,716.0,705.0,97,RURU
2023-11-29,239.4,239.0,240.0,238.0,9858,SANIMA
2023-11-29,594.0,600.0,600.0,580.0,356,ILBS
2023-11-29,181.9,184.0,184.0,180.0,15928,LSL
2023-11-29,230.0,228.0,232.4,228.0,15852,SBL
2023-11-29,561.7,573.0,578.0,561.7,4790,NLICL
2023-11-29,1600.0,1608.0,1630.0,1580.0,654,MLBSL
2023-11-29,590.0,600.0,600.0,590.0,126,SMATA
2023-11-29,430.0,431.0,455.0,422.5,61453,GCIL
2023-11-29,341.0,349.9,350.0,337.6,4060,USHL
2023-11-29,462.1,466.5,476.0,462.0,50658,SNLI
2023-11-29,328.0,330.0,330.0,318.6,17752,RLFL
2023-11-29,7.39,7.34,7.5,7.33,885,LVF2
2023-11-29,192.0,189.0,193.0,189.0,32576,PCBL
2023-11-29,452.0,462.9,470.0,450.0,5656,ICFC
2023-11-29,257.0,267.2,270.0,253.0,36292,SMJC
2023-11-29,864.0,865.0,870.0,862.1,10773,NTC
2023-11-29,429.8,435.0,442.0,428.0,98648,SHL
2023-11-29,252.2,251.0,264.0,251.0,4495,RHPL
2023-11-29,319.0,331.0,331.0,318.9,2374,CFCL
2023-11-29,560.0,553.0,564.0,545.7,244,KMCDB
2023-11-29,211.0,219.0,220.0,207.3,1859,CHL
2023-11-29,415.0,416.1,429.0,410.0,44512,HLI
2023-11-29,615.6,620.0,645.0,610.0,947,DLBS
2023-11-29,475.0,485.1,485.1,475.0,1114,NADEP
2023-11-29,199.6,202.0,202.0,198.1,9913,HBL
2023-11-29,498.0,505.9,505.9,490.0,4560,NMLBBL
2023-11-29,584.0,584.5,600.0,579.0,1979,ALBSL
2023-11-29,735.0,753.7,779.9,733.1,1350,SPL
2023-11-29,655.0,671.0,671.0,635.0,4738,MEN
2023-11-29,358.9,360.0,361.0,352.1,29538,SHINE
2023-11-29,242.3,249.0,255.0,242.0,5396,USHEC
2023-11-29,295.0,298.0,298.0,295.0,1680,BFC
2023-11-29,508.0,514.0,514.0,508.0,8435,NICA
2023-11-29,253.6,261.2,261.2,245.0,11066,MAKAR
2023-11-29,539.0,521.2,539.0,521.2,422,SMH
2023-11-29,1633.0,1709.0,1709.0,1590.0,641,ANLB
2023-11-29,705.0,694.0,720.0,691.7,171,WNLB
2023-11-29,395.0,402.0,402.0,394.1,4196,MDB
2023-11-29,194.9,195.0,196.8,188.9,2870,MHNL
2023-11-29,362.0,360.0,362.0,353.1,2555,NABBC
2023-11-29,568.2,585.4,609.0,566.0,16853,CITY
2023-11-29,338.0,340.1,345.0,335.5,5519,UMRH
2023-11-29,326.0,339.0,345.0,325.1,3895,SIFC
