date,close,open,high,low,volume,symbol
2017-08-31,423.0,450.0,450.0,418.0,31495,HPPL
2017-08-31,1715.0,1735.0,1738.0,1715.0,6812,SPIL
2017-08-31,1095.0,1122.0,1122.0,1095.0,10486,NIL
2017-08-31,1004.0,1024.0,1024.0,996.0,2307,SJLIC
2017-08-31,180.0,184.0,184.0,180.0,14266,HIDCL
2017-08-31,224.0,231.0,231.0,219.0,7816,AHPC
2017-08-31,272.0,278.0,290.0,271.0,2976,NGPL
2017-08-31,164.0,170.0,170.0,164.0,1125,DHPL
2017-08-31,375.0,380.0,382.0,374.0,26774,PRVU
2017-08-31,773.0,780.0,782.0,768.0,4956,CHCL
2017-08-31,1299.0,1300.0,1301.0,1288.0,7943,EBL
2017-08-31,1732.0,1770.0,1770.0,1730.0,3165,SALICO
2017-08-31,2244.0,2250.0,2250.0,2180.0,2837,LICN
2017-08-31,3680.0,3667.0,3750.0,3667.0,1200,CIT
2017-08-31,152.0,158.0,158.0,152.0,1570,SFCL
2017-08-31,437.0,438.0,438.0,432.0,15528,ADBL
2017-08-31,300.0,310.0,310.0,300.0,27593,KBL
2017-08-31,610.0,620.0,620.0,605.0,6652,API
2017-08-31,171.0,171.0,171.0,168.0,2024,RIDI
2017-08-31,282.0,285.0,290.0,282.0,1122,UMHL
2017-08-31,178.0,185.0,187.0,177.0,1179,SPDL
2017-08-31,236.0,240.0,240.0,236.0,1777,PFL
2017-08-31,216.0,214.0,218.0,214.0,1010,PROFL
2017-08-31,1700.0,1745.0,1750.0,1699.0,13665,NABIL
2017-08-31,764.0,767.0,773.0,760.0,36905,NIMB
2017-08-31,2070.0,2100.0,2100.0,2052.0,3949,SWMF
2017-08-31,500.0,508.0,508.0,498.0,11312,NMB
2017-08-31,354.0,358.0,358.0,350.0,6893,AKPL
2017-08-31,176.0,181.0,181.0,173.0,651,KKHC
2017-08-31,1035.0,1032.0,1038.0,1022.0,10516,FMDBL
2017-08-31,2027.0,2070.0,2070.0,2027.0,1912,SICL
2017-08-31,300.0,301.0,306.0,300.0,22580,CZBIL
2017-08-31,640.0,640.0,640.0,627.0,2108,BPCL
2017-08-31,190.0,190.0,193.0,190.0,71,SAPDBL
2017-08-31,211.0,215.0,215.0,210.0,4932,LBBL
2017-08-31,141.0,141.0,142.0,139.0,17220,NHPC
2017-08-31,378.0,380.0,380.0,375.0,18475,GBIME
2017-08-31,1289.0,1300.0,1315.0,1289.0,2211,HLBSL
2017-08-31,236.0,238.0,238.0,234.0,180,BARUN
2017-08-31,149.0,153.0,153.0,149.0,3237,MFIL
2017-08-31,267.0,265.0,267.0,262.0,4310,JFL
