date,close,open,high,low,volume,symbol
2012-01-09,106.0,106.0,106.0,106.0,30,SJLIC
2012-01-09,316.0,314.0,322.0,314.0,643,AHPC
2012-01-09,608.0,610.0,610.0,605.0,1320,CHCL
2012-01-09,670.0,686.0,686.0,670.0,12252,EBL
2012-01-09,490.0,490.0,490.0,490.0,10,LICN
2012-01-09,517.0,517.0,517.0,517.0,12,CIT
2012-01-09,111.0,113.0,113.0,111.0,1710,ADBL
2012-01-09,222.0,216.0,223.0,216.0,952,KBL
2012-01-09,846.0,830.0,846.0,830.0,195,NABIL
2012-01-09,401.0,401.0,403.0,400.0,1300,NIMB
2012-01-09,161.0,158.0,163.0,158.0,3559,NMB
2012-01-09,238.0,238.0,238.0,238.0,100,SICL
2012-01-09,168.0,165.0,170.0,165.0,780,CZBIL
2012-01-09,497.0,488.0,497.0,488.0,34,BPCL
2012-01-09,50.0,48.0,50.0,47.0,648225,NHPC
2012-01-09,169.0,168.0,170.0,168.0,1140,GBIME
2012-01-09,1334.0,1350.0,1360.0,1300.0,2110,SCB
2012-01-09,116.0,116.0,117.0,114.0,280,GBBL
2012-01-09,231.0,232.0,232.0,231.0,264,LSL
2012-01-09,222.0,221.0,222.0,221.0,832,SBL
2012-01-09,191.0,190.0,191.0,188.0,3658,PCBL
2012-01-09,430.0,424.0,437.0,424.0,2855,NTC
2012-01-09,462.0,469.0,469.0,460.0,249,HBL
2012-01-09,95.0,95.0,95.0,95.0,300,MDB
2012-01-09,170.0,176.0,176.0,167.0,491,SIFC
2012-01-09,156.0,153.0,158.0,153.0,970,MNBBL
2012-01-09,89.0,91.0,91.0,88.0,1710,JBBL
2012-01-09,428.0,430.0,430.0,428.0,503,SBI
2012-01-09,171.0,168.0,171.0,168.0,200,ALICL
2012-01-09,248.0,242.0,248.0,240.0,206,SWBBL
2012-01-09,238.0,237.0,238.0,237.0,187,DDBL
