date,close,open,high,low,volume,symbol
2022-05-12,402.0,422.0,422.0,402.0,8949,HPPL
2022-05-12,573.9,591.0,593.0,566.1,10380,NRN
2022-05-12,669.0,673.2,699.0,651.0,119662,RADHI
2022-05-12,769.7,770.0,789.2,758.0,9258,SPIL
2022-05-12,878.0,894.5,907.0,877.0,9603,NIL
2022-05-12,590.0,609.0,609.0,585.0,37022,SJLIC
2022-05-12,340.0,351.7,365.8,327.5,10515,SHEL
2022-05-12,531.0,544.0,544.9,525.0,46686,UPPER
2022-05-12,302.0,309.0,315.0,301.1,86969,NIFRA
2022-05-12,253.0,265.0,266.0,252.9,113234,HIDCL
2022-05-12,516.0,532.0,533.0,514.5,6312,SGIC
2022-05-12,277.0,288.0,293.5,272.0,117702,UPCL
2022-05-12,246.1,259.1,266.0,245.0,73937,AKJCL
2022-05-12,435.5,455.0,457.0,431.0,182028,AHPC
2022-05-12,325.0,333.0,333.0,320.4,25068,SJCL
2022-05-12,650.0,685.0,685.0,649.0,112400,NGPL
2022-05-12,262.0,275.3,276.3,258.8,12775,DHPL
2022-05-12,560.0,588.0,588.0,550.0,25253,SAHAS
2022-05-12,265.0,272.0,272.0,263.0,35328,PRVU
2022-05-12,453.0,456.0,460.0,447.0,24591,CHCL
2022-05-12,270.0,261.7,280.0,257.0,105481,UNHPL
2022-05-12,504.0,502.2,512.0,502.2,6458,EBL
2022-05-12,1045.0,1064.0,1085.0,1030.0,1565,SALICO
2022-05-12,1636.0,1676.0,1676.0,1617.0,12569,LICN
2022-05-12,2810.0,2880.0,2880.0,2803.0,6149,CIT
2022-05-12,305.0,302.79,321.0,302.0,18780,SFCL
2022-05-12,379.9,384.0,389.0,379.0,13951,ADBL
2022-05-12,389.7,391.6,401.8,377.0,15321,NYADI
2022-05-12,408.0,423.0,423.0,394.0,3920,GLH
2022-05-12,250.0,262.0,266.0,247.5,54755,HDHPC
2022-05-12,330.0,335.0,335.4,317.0,10358,LEC
2022-05-12,226.0,228.0,228.0,221.0,60253,KBL
2022-05-12,311.9,327.0,327.0,310.5,97361,API
2022-05-12,305.6,322.0,324.3,304.5,23602,MBJC
2022-05-12,245.0,258.0,263.0,244.0,26443,JOSHI
2022-05-12,298.9,311.0,315.0,295.2,64705,UMHL
2022-05-12,400.0,415.0,423.0,396.0,58071,SPDL
2022-05-12,418.0,420.0,439.0,411.6,9037,PFL
2022-05-12,303.5,315.0,317.3,302.0,11651,PROFL
2022-05-12,930.0,949.7,951.0,930.0,54721,NABIL
2022-05-12,436.5,459.0,459.0,435.0,23351,NHDL
2022-05-12,498.0,488.5,498.0,461.2,5586,BNHC
2022-05-12,915.0,887.0,935.0,870.0,122040,SHIVM
2022-05-12,1236.1,1346.0,1346.0,1236.1,1339,SWMF
2022-05-12,285.5,297.5,300.0,285.4,18732,SSHL
2022-05-12,995.0,1020.0,1035.0,995.0,2985,NICLBSL
2022-05-12,296.9,298.0,300.0,293.0,32609,NMB
2022-05-12,1330.0,1348.9,1350.0,1330.0,1009,SLBSL
2022-05-12,466.9,475.0,484.0,460.6,121849,AKPL
2022-05-12,305.5,314.0,331.0,304.0,20347,MPFL
2022-05-12,260.0,275.0,280.0,260.0,10445,KKHC
2022-05-12,717.0,737.0,738.0,711.0,10186,FMDBL
2022-05-12,248.0,256.0,263.0,245.1,47573,GHL
2022-05-12,354.4,370.0,375.5,350.2,25865,PPCL
2022-05-12,343.0,339.9,366.6,334.0,53290,NFS
2022-05-12,1114.0,1085.0,1129.0,1085.0,5493,SICL
2022-05-12,980.0,994.0,994.5,970.0,11119,NRIC
2022-05-12,250.0,250.4,251.9,248.9,26818,CZBIL
2022-05-12,482.3,500.0,514.9,480.2,7886,SPC
2022-05-12,379.0,385.4,392.7,379.0,11260,BPCL
2022-05-12,10.0,10.0,10.01,10.0,3850,LUK
2022-05-12,277.0,290.0,295.8,275.0,8406,SAPDBL
2022-05-12,425.5,434.8,441.0,423.0,27688,LBBL
2022-05-12,465.0,472.0,483.4,456.0,20607,SRLI
2022-05-12,1259.0,1299.0,1299.0,1241.0,2612,CGH
2022-05-12,293.0,295.0,310.0,285.1,179371,NHPC
2022-05-12,306.1,315.0,315.0,306.1,31762,GBIME
2022-05-12,863.0,881.0,890.0,863.0,1300,HLBSL
2022-05-12,507.0,502.0,541.6,502.0,71757,BARUN
2022-05-12,507.0,517.0,522.0,494.9,24865,MFIL
2022-05-12,427.0,431.0,446.0,419.0,14646,JFL
2022-05-12,2996.1,3095.0,3095.0,2996.1,4752,JBLB
2022-05-12,321.5,330.0,338.9,321.5,10533,SINDU
2022-05-12,540.0,555.0,563.0,530.1,18865,IGI
2022-05-12,721.0,760.3,760.3,721.0,4081,NLG
2022-05-12,15100.0,14481.0,15371.3,14480.0,360,BNT
2022-05-12,440.9,449.9,449.9,438.0,10172,SCB
2022-05-12,419.4,436.0,440.0,416.0,44008,GBBL
2022-05-12,416.0,422.0,427.0,415.0,84691,MLBL
2022-05-12,644.0,667.9,667.9,641.0,3296,PRIN
2022-05-12,777.0,801.0,815.0,775.0,13666,CHDC
2022-05-12,272.0,275.0,293.0,268.0,9792,PMHPL
2022-05-12,634.0,646.6,646.6,626.3,3795,RSDC
2022-05-12,317.0,320.0,331.0,315.0,20857,HURJA
2022-05-12,480.0,484.0,510.0,480.0,16676,GFCL
2022-05-12,3556.0,3620.0,3629.0,3555.0,12670,HDL
2022-05-12,319.0,320.0,323.0,315.0,44922,NBL
2022-05-12,387.0,401.0,406.0,385.0,58670,SHPC
2022-05-12,949.0,957.0,975.8,940.0,26483,NLIC
2022-05-12,320.7,328.8,336.0,313.6,18554,GVL
2022-05-12,869.9,874.0,891.0,860.0,1592,NMBMF
2022-05-12,475.0,488.0,492.0,465.0,19293,PMLI
2022-05-12,2390.1,2460.0,2485.0,2383.0,9270,FOWAD
2022-05-12,895.0,947.9,965.9,895.0,2034,RURU
2022-05-12,314.0,320.0,320.0,309.0,22214,SANIMA
2022-05-12,1088.0,1134.2,1134.2,1070.0,1487,ILBS
2022-05-12,240.2,245.0,245.0,240.1,5134,LSL
2022-05-12,396.0,400.0,401.0,395.0,33702,SBL
2022-05-12,725.0,747.0,749.7,724.0,12953,NLICL
2022-05-12,3675.0,3700.0,3700.0,3641.0,1113,MLBSL
2022-05-12,894.0,939.4,949.0,894.0,1788,SMATA
2022-05-12,350.0,360.0,369.0,343.0,34863,RLFL
2022-05-12,293.0,292.0,296.3,286.6,67614,PCBL
2022-05-12,495.0,498.7,513.0,490.0,56544,ICFC
2022-05-12,1053.6,1050.0,1070.0,1029.1,51491,NTC
2022-05-12,222.0,225.0,227.3,220.1,41004,SHL
2022-05-12,328.3,342.0,347.0,328.3,38682,RHPL
2022-05-12,335.0,350.0,364.0,330.0,17187,CFCL
2022-05-12,1225.0,1254.0,1254.0,1225.0,1616,KMCDB
2022-05-12,338.0,354.0,360.0,329.0,22907,CHL
2022-05-12,1020.6,1030.0,1039.0,1000.6,2570,NMLBBL
2022-05-12,1384.9,1400.0,1409.0,1344.6,745,ALBSL
2022-05-12,999.1,1010.0,1010.1,997.3,1375,MEN
2022-05-12,514.0,474.4,514.0,458.0,10111,TPC
2022-05-12,361.8,376.9,377.0,361.8,32152,SHINE
2022-05-12,429.8,439.0,445.0,423.0,35890,BFC
2022-05-12,808.0,800.0,819.0,790.1,69713,NICA
2022-05-12,1217.0,1260.0,1260.0,1217.0,445,WNLB
2022-05-12,439.0,458.0,461.0,436.1,6184,MDB
2022-05-12,350.0,365.0,371.0,350.0,7180,MHNL
2022-05-12,374.2,375.0,377.0,363.0,6030,NABBC
2022-05-12,816.4,838.4,885.0,816.4,3445,UMRH
2022-05-12,370.0,394.0,397.0,368.0,14916,SIFC
2022-05-12,483.0,489.0,496.0,482.0,22232,MNBBL
2022-05-12,364.0,380.0,382.0,363.1,48276,JBBL
2022-05-12,422.0,430.0,443.0,421.0,32483,KSBBL
2022-05-12,329.0,322.5,332.0,322.0,7714,SBI
2022-05-12,403.0,426.3,426.3,400.0,12639,EDBL
2022-05-12,1162.0,1176.0,1199.5,1160.0,1048,SMPDA
2022-05-12,440.1,451.0,466.0,440.0,3811,KPCL
2022-05-12,8.71,8.7,8.85,8.7,28580,SLCF
2022-05-12,1340.0,1366.8,1366.8,1313.2,665,MSLB
2022-05-12,475.0,488.0,497.7,460.6,1293,CORBL
2022-05-12,8.27,8.5,8.59,8.17,29244,MMF1
2022-05-12,928.0,967.5,967.5,915.0,8634,SLBBL
2022-05-12,1349.0,1335.0,1370.0,1335.0,2396,GILB
2022-05-12,1467.0,1468.1,1478.0,1439.0,100,MLBBL
2022-05-12,835.0,850.0,865.0,835.0,3810,GBLBS
2022-05-12,538.4,540.0,553.9,520.0,8062,MKJC
2022-05-12,970.0,980.0,982.0,952.0,1032,ACLBSL
2022-05-12,507.0,523.0,529.0,502.0,21304,OHL
2022-05-12,1078.0,1090.0,1097.0,1076.0,14329,CBBL
2022-05-12,1265.0,1310.0,1310.0,1265.0,183,USLB
2022-05-12,452.0,455.0,470.0,444.0,29571,GUFL
2022-05-12,711.0,730.0,740.0,711.0,18441,ALICL
2022-05-12,8.79,8.9,9.04,8.7,27349,NBF3
2022-05-12,15700.0,15999.0,16199.0,15700.0,559,RBCL
2022-05-12,1136.0,1154.0,1166.6,1135.0,1412,SWBBL
2022-05-12,1625.0,1650.0,1650.0,1625.0,38,SMB
2022-05-12,279.3,286.6,295.0,276.0,6100,GRDBL
2022-05-12,355.0,371.9,374.0,354.1,46861,SADBL
2022-05-12,951.0,960.0,989.9,945.0,5451,MERO
2022-05-12,2050.0,2140.0,2140.0,2045.0,4001,NMFBS
2022-05-12,1110.0,1125.0,1125.0,1099.0,3743,NUBL
2022-05-12,680.0,677.0,709.9,677.0,12964,NICL
2022-05-12,355.0,358.0,358.0,347.0,6368,TRH
2022-05-12,815.9,802.0,824.0,786.0,4857,ENL
2022-05-12,836.4,836.4,836.4,836.4,25,NBLD85
2022-05-12,340.0,340.0,355.0,322.0,9486,GMFIL
2022-05-12,1179.1,1190.0,1190.0,1156.0,638,GLBSL
2022-05-12,532.0,558.9,558.9,525.0,9598,UAIL
2022-05-12,282.0,285.0,285.0,281.0,10788,MBL
2022-05-12,1076.0,1090.0,1094.4,1073.0,331,VLBS
2022-05-12,3975.0,4115.0,4115.0,3900.0,2801,STC
2022-05-12,1157.0,1168.1,1189.6,1150.0,3187,SKBBL
2022-05-12,1207.0,1264.0,1264.0,1205.0,268,MLBS
