date,close,open,high,low,volume,symbol
2009-09-23,2275.0,2280.0,2280.0,2275.0,102,EBL
2009-09-23,250.0,250.0,250.0,250.0,20,SALICO
2009-09-23,729.0,715.0,729.0,715.0,60,CIT
2009-09-23,670.0,660.0,670.0,660.0,240,KBL
2009-09-23,280.0,280.0,280.0,280.0,500,PROFL
2009-09-23,2825.0,2825.0,2900.0,2825.0,2086,NABIL
2009-09-23,950.0,960.0,965.0,950.0,1359,NIMB
2009-09-23,380.0,380.0,380.0,380.0,58,NMB
2009-09-23,425.0,425.0,425.0,425.0,274,NFS
2009-09-23,700.0,705.0,705.0,697.0,1240,CZBIL
2009-09-23,89.0,90.0,90.0,89.0,3200,NHPC
2009-09-23,540.0,539.0,545.0,520.0,1990,GBIME
2009-09-23,484.0,483.0,484.0,483.0,250,JFL
2009-09-23,5250.0,5300.0,5300.0,5100.0,8488,SCB
2009-09-23,595.0,595.0,595.0,595.0,140,SANIMA
2009-09-23,917.0,917.0,917.0,917.0,20,LSL
2009-09-23,785.0,790.0,795.0,785.0,345,SBL
2009-09-23,420.0,417.0,420.0,415.0,220,ICFC
2009-09-23,560.0,560.0,560.0,560.0,400,NTC
2009-09-23,1544.0,1545.0,1545.0,1540.0,338,HBL
2009-09-23,875.0,870.0,875.0,870.0,600,NICA
2009-09-23,1670.0,1670.0,1683.0,1670.0,2164,SBI
2009-09-23,697.0,709.0,710.0,697.0,280,SWBBL
2009-09-23,365.0,364.0,365.0,364.0,572,MBL
2009-09-23,2861.0,2861.0,2861.0,2861.0,342,BBC
