date,close,open,high,low,volume,symbol
2014-06-09,301.0,273.0,301.0,273.0,1987,NIL
2014-06-09,522.0,521.0,540.0,520.0,2412,SJLIC
2014-06-09,433.0,442.0,442.0,428.0,6865,AHPC
2014-06-09,2343.0,2320.0,2351.0,2320.0,14751,CHCL
2014-06-09,2395.0,2400.0,2410.0,2390.0,10756,EBL
2014-06-09,1124.0,1134.0,1134.0,1124.0,511,SALICO
2014-06-09,3305.0,3345.0,3345.0,3305.0,561,LICN
2014-06-09,4500.0,4226.0,4620.0,4226.0,927,CIT
2014-06-09,442.0,445.0,447.0,442.0,3135,ADBL
2014-06-09,444.0,446.0,451.0,437.0,8004,KBL
2014-06-09,2110.0,2085.0,2115.0,2078.0,6302,NABIL
2014-06-09,867.0,863.0,869.0,860.0,8468,NIMB
2014-06-09,451.0,445.0,454.0,445.0,16815,NMB
2014-06-09,676.0,689.0,689.0,676.0,218,FMDBL
2014-06-09,90.0,90.0,90.0,90.0,11641,NFS
2014-06-09,885.0,840.0,885.0,840.0,1200,SICL
2014-06-09,446.0,443.0,451.0,435.0,20362,CZBIL
2014-06-09,765.0,770.0,770.0,765.0,1698,BPCL
2014-06-09,176.0,179.0,182.0,175.0,89050,NHPC
2014-06-09,564.0,570.0,571.0,562.0,16273,GBIME
2014-06-09,355.0,355.0,355.0,355.0,60,JFL
2014-06-09,770.0,740.0,780.0,740.0,4354,NLG
2014-06-09,1646.0,1679.0,1679.0,1646.0,500,BNT
2014-06-09,1990.0,1999.0,2014.0,1975.0,6062,SCB
2014-06-09,296.0,299.0,300.0,291.0,3681,GBBL
2014-06-09,156.0,162.0,162.0,156.0,1015,GFCL
2014-06-09,328.0,337.0,339.0,328.0,8820,NBL
2014-06-09,690.0,680.0,691.0,680.0,3578,SHPC
2014-06-09,3540.0,3585.0,3596.0,3535.0,1491,NLIC
2014-06-09,518.0,514.0,522.0,513.0,15774,SANIMA
2014-06-09,480.0,469.0,480.0,469.0,2892,LSL
2014-06-09,722.0,730.0,731.0,713.0,10661,SBL
2014-06-09,2090.0,2175.0,2175.0,2090.0,292,NLICL
2014-06-09,490.0,490.0,495.0,486.0,6244,PCBL
2014-06-09,240.0,240.0,240.0,240.0,58,ICFC
2014-06-09,650.0,660.0,660.0,650.0,10120,NTC
2014-06-09,562.0,561.0,581.0,550.0,24759,SHL
2014-06-09,695.0,675.0,695.0,671.0,835,KMCDB
2014-06-09,855.0,855.0,860.0,845.0,3138,HBL
2014-06-09,1130.0,1139.0,1139.0,1125.0,630,NMLBBL
2014-06-09,376.0,383.0,383.0,376.0,128,SHINE
2014-06-09,820.0,800.0,830.0,790.0,12221,NICA
2014-06-09,488.0,481.0,488.0,481.0,561,MDB
2014-06-09,451.0,460.0,460.0,451.0,585,SIFC
2014-06-09,550.0,550.0,550.0,540.0,405,MNBBL
2014-06-09,160.0,168.0,168.0,160.0,8730,JBBL
2014-06-09,1125.0,1115.0,1127.0,1115.0,4285,SBI
2014-06-09,607.0,607.0,607.0,607.0,10,EDBL
2014-06-09,122.0,122.0,122.0,122.0,770,CORBL
2014-06-09,1162.0,1118.0,1162.0,1118.0,99,SLBBL
2014-06-09,720.0,720.0,724.0,710.0,2370,OHL
2014-06-09,1120.0,1155.0,1155.0,1120.0,378,CBBL
2014-06-09,147.0,150.0,150.0,145.0,183,GUFL
2014-06-09,870.0,860.0,870.0,855.0,9672,ALICL
2014-06-09,1280.0,1350.0,1350.0,1280.0,2110,SWBBL
2014-06-09,1118.0,1122.0,1140.0,1118.0,766,NUBL
2014-06-09,310.0,310.0,310.0,310.0,1250,TRH
2014-06-09,218.0,214.0,218.0,214.0,1304,GMFIL
2014-06-09,835.0,830.0,840.0,830.0,1188,UAIL
2014-06-09,497.0,497.0,503.0,491.0,28233,MBL
2014-06-09,1195.0,1218.0,1223.0,1190.0,3616,SKBBL
2014-06-09,1008.0,1020.0,1026.0,995.0,2131,DDBL
