transaction,symbol,buyer,seller,quantity,rate,amount,date
2026020904038830,SSHL,42,25,200.0,197.5,39500.0,2026-02-09
2026020905024546,SANVI,45,19,107.0,835.0,89345.0,2026-02-09
2026020905024545,SANVI,33,19,301.0,835.0,251335.0,2026-02-09
2026020905024544,SANVI,14,19,60.0,835.1,50106.0,2026-02-09
2026020905024543,SANVI,96,19,70.0,835.1,58457.0,2026-02-09
2026020905024542,SANVI,35,19,100.0,835.2,83520.0,2026-02-09
2026020901024203,TTL,10,49,10.0,914.0,9140.0,2026-02-09
2026020901024202,TTL,10,58,180.0,914.0,164520.0,2026-02-09
2026020904038829,UNHPL,72,41,190.0,489.0,92910.0,2026-02-09
2026020904038828,UNHPL,72,7,310.0,489.0,151590.0,2026-02-09
2026020901024201,NBL,40,46,200.0,242.0,48400.0,2026-02-09
2026020903010271,RSDC,42,57,100.0,659.0,65900.0,2026-02-09
2026020904038827,BARUN,45,16,55.0,361.2,19866.0,2026-02-09
2026020904038826,SSHL,22,72,252.0,197.6,49795.2,2026-02-09
2026020905024541,BHL,72,46,770.0,207.0,159390.0,2026-02-09
2026020905024540,BHL,72,39,200.0,207.0,41400.0,2026-02-09
2026020905024504,BHPL,34,49,100.0,569.9,56990.0,2026-02-09
2026020903010119,ALICL,8,49,120.0,474.5,56940.0,2026-02-09
2026020905024293,NRIC,56,34,100.0,1279.0,127900.0,2026-02-09
2026020905024292,NRIC,56,80,63.0,1273.1,80205.3,2026-02-09
2026020905024291,NRIC,56,48,65.0,1272.0,82680.0,2026-02-09
2026020904038488,UAIL,19,42,50.0,469.0,23450.0,2026-02-09
2026020903010118,SWBBL,13,58,53.0,736.0,39008.0,2026-02-09
2026020905024290,SGHC,94,17,200.0,408.5,81700.0,2026-02-09
2026020905024289,NRN,1,26,10.0,1620.0,16200.0,2026-02-09
2026020905024288,NRN,92,26,50.0,1620.0,81000.0,2026-02-09
2026020905024287,NRN,28,26,50.0,1620.0,81000.0,2026-02-09
2026020905024286,NRN,57,26,12.0,1620.0,19440.0,2026-02-09
2026020901023881,BANDIPUR,13,45,205.0,1000.1,205020.5,2026-02-09
2026020901023880,BANDIPUR,36,45,70.0,1000.5,70035.0,2026-02-09
2026020903010117,MERO,17,33,50.0,736.1,36805.0,2026-02-09
2026020905024285,NRN,57,58,21.0,1620.0,34020.0,2026-02-09
2026020905024284,IHL,8,35,70.0,535.0,37450.0,2026-02-09
2026020905024283,IHL,20,35,200.0,535.0,107000.0,2026-02-09
2026020905024282,IHL,18,35,50.0,535.0,26750.0,2026-02-09
2026020905024281,IHL,62,35,278.0,535.0,148730.0,2026-02-09
2026020904038487,HURJA,5,33,50.0,268.0,13400.0,2026-02-09
2026020904038486,BARUN,32,58,10.0,360.0,3600.0,2026-02-09
2026020904038485,BARUN,32,45,90.0,360.0,32400.0,2026-02-09
2026020901023879,NICA,57,81,1000.0,324.0,324000.0,2026-02-09
2026020901023878,PRVU,46,14,30.0,183.9,5517.0,2026-02-09
2026020904038484,RADHI,39,5,500.0,861.0,430500.0,2026-02-09
2026020904038483,KKHC,70,28,50.0,277.0,13850.0,2026-02-09
2026020905024280,SAHAS,45,11,420.0,556.0,233520.0,2026-02-09
2026020905024279,SAHAS,34,11,80.0,556.0,44480.0,2026-02-09
2026020905024278,PHCL,63,63,200.0,283.0,56600.0,2026-02-09
2026020904038482,RIDI,39,59,2.0,315.0,630.0,2026-02-09
2026020905024277,GVL,33,34,100.0,488.0,48800.0,2026-02-09
2026020905024276,TVCL,18,8,834.0,615.0,512910.0,2026-02-09
2026020905024275,TVCL,18,46,96.0,615.0,59040.0,2026-02-09
2026020904038481,LEC,58,41,200.0,234.0,46800.0,2026-02-09
2026020901023877,BANDIPUR,13,58,10.0,1000.1,10001.0,2026-02-09
2026020904038480,LEC,58,17,100.0,234.0,23400.0,2026-02-09
2026020904038479,LEC,58,42,120.0,234.0,28080.0,2026-02-09
2026020904038478,LEC,58,45,110.0,234.0,25740.0,2026-02-09
2026020905024274,PHCL,67,42,10.0,282.0,2820.0,2026-02-09
2026020903010116,NFS,58,59,300.0,638.0,191400.0,2026-02-09
2026020905024273,SMHL,58,44,1.0,478.2,478.2,2026-02-09
2026020905024416,TPC,58,54,200.0,393.0,78600.0,2026-02-09
2026020901023351,SYPNL,4,26,35.0,1907.0,66745.0,2026-02-09
2026020903009450,SINDU,8,62,10.0,794.0,7940.0,2026-02-09
2026020901022778,SYPNL,13,97,10.0,1917.4,19174.0,2026-02-09
2026020901022777,SYPNL,7,97,100.0,1917.5,191750.0,2026-02-09
2026020901022776,SYPNL,4,97,18.0,1918.0,34524.0,2026-02-09
2026020903009431,CBBL,34,36,191.0,926.0,176866.0,2026-02-09
2026020903009430,CBBL,42,36,25.0,926.5,23162.5,2026-02-09
2026020904037190,KKHC,26,58,100.0,281.0,28100.0,2026-02-09
2026020904037189,KKHC,26,32,100.0,281.0,28100.0,2026-02-09
2026020901022775,CITY,19,6,210.0,481.0,101010.0,2026-02-09
2026020901022774,CITY,4,6,100.0,481.0,48100.0,2026-02-09
2026020901022773,SYPNL,77,60,10.0,1928.8,19288.0,2026-02-09
2026020904036938,RURU,55,57,4.0,668.2,2672.8,2026-02-09
2026020901022495,DHEL,40,6,60.0,717.9,43074.0,2026-02-09
2026020903009287,EDBL,32,44,50.0,586.3,29315.0,2026-02-09
2026020901022494,SYPNL,71,55,20.0,1917.0,38340.0,2026-02-09
2026020905023131,BHDC,43,58,11.0,485.5,5340.5,2026-02-09
2026020901022493,HIDCLP,42,55,200.0,193.7,38740.0,2026-02-09
2026020903009286,PFL,46,49,50.0,373.5,18675.0,2026-02-09
2026020903009285,JFL,21,39,468.0,431.0,201708.0,2026-02-09
2026020903009284,JFL,16,39,500.0,431.0,215500.0,2026-02-09
2026020903009283,JFL,16,39,32.0,431.0,13792.0,2026-02-09
2026020905023130,RNLI,42,42,12.0,457.0,5484.0,2026-02-09
2026020903009282,SINDU,45,34,20.0,795.0,15900.0,2026-02-09
2026020901022492,MABEL,58,52,10.0,766.1,7661.0,2026-02-09
2026020901022491,SYPNL,77,63,10.0,1918.0,19180.0,2026-02-09
2026020901022490,SAIL,57,51,10.0,1354.0,13540.0,2026-02-09
2026020901022489,SAIL,57,49,10.0,1354.0,13540.0,2026-02-09
2026020901022488,HBL,14,42,10.0,188.1,1881.0,2026-02-09
2026020904036868,NICL,52,90,100.0,500.0,50000.0,2026-02-09
2026020904036867,UPPER,17,37,500.0,189.0,94500.0,2026-02-09
2026020903009281,ILBS,60,94,10.0,964.0,9640.0,2026-02-09
2026020903009280,GUFL,57,49,15.0,566.5,8497.5,2026-02-09
2026020903009279,GUFL,11,49,85.0,566.5,48152.5,2026-02-09
2026020905023129,SMATA,14,38,100.0,781.0,78100.0,2026-02-09
2026020905023128,SGHC,55,42,10.0,411.0,4110.0,2026-02-09
2026020904036866,KKHC,81,21,100.0,282.0,28200.0,2026-02-09
2026020905023127,SHIVM,44,35,90.0,614.4,55296.0,2026-02-09
2026020905023126,STC,28,39,5.0,5431.0,27155.0,2026-02-09
2026020905023125,HATHY,58,39,10.0,934.0,9340.0,2026-02-09
2026020904036889,AKJCL,48,14,50.0,362.1,18105.0,2026-02-09
2026020904036888,NGPL,33,4,2200.0,420.3,924660.0,2026-02-09
2026020904036887,NGPL,18,4,500.0,420.4,210200.0,2026-02-09
2026020904036886,NGPL,18,4,1000.0,420.4,420400.0,2026-02-09
2026020904036885,NGPL,18,4,1000.0,420.5,420500.0,2026-02-09
2026020904036884,NGPL,17,4,2250.0,420.5,946125.0,2026-02-09
2026020904036883,NGPL,34,4,50.0,421.0,21050.0,2026-02-09
2026020904036882,AKJCL,48,29,1000.0,362.1,362100.0,2026-02-09
2026020904036881,AKJCL,84,29,1000.0,362.2,362200.0,2026-02-09
2026020904036880,GHL,72,60,393.0,256.4,100765.2,2026-02-09
2026020904036879,GHL,42,60,1000.0,256.4,256400.0,2026-02-09
2026020904036878,GHL,94,60,200.0,257.0,51400.0,2026-02-09
2026020904036877,GHL,4,60,557.0,257.0,143149.0,2026-02-09
2026020903009298,NLIC,41,11,26.0,763.0,19838.0,2026-02-09
2026020905023140,NRIC,42,44,70.0,1270.0,88900.0,2026-02-09
2026020903009297,CFCL,55,84,500.0,545.0,272500.0,2026-02-09
2026020903009296,CFCL,55,84,500.0,545.0,272500.0,2026-02-09
2026020903009295,CFCL,49,84,500.0,545.0,272500.0,2026-02-09
2026020903009294,CFCL,5,84,10.0,545.0,5450.0,2026-02-09
2026020903009293,CFCL,101,84,200.0,545.0,109000.0,2026-02-09
2026020903009292,CFCL,28,84,50.0,545.0,27250.0,2026-02-09
2026020903009291,CFCL,47,84,3000.0,545.0,1635000.0,2026-02-09
