transaction,symbol,buyer,seller,quantity,rate,amount,date
2024092604019442,UPCL,22,44,10.0,242.0,2420.0,2024-09-26
2024092603013558,NFS,74,39,100.0,1258.9,125890.0,2024-09-26
2024092605013459,VLUCL,6,39,600.0,580.0,348000.0,2024-09-26
2024092605013458,VLUCL,57,39,30.0,580.0,17400.0,2024-09-26
2024092605013457,VLUCL,46,39,60.0,580.0,34800.0,2024-09-26
2024092605013456,VLUCL,58,39,50.0,580.6,29030.0,2024-09-26
2024092605013455,VLUCL,4,39,10.0,580.7,5807.0,2024-09-26
2024092605013454,VLUCL,17,39,200.0,580.7,116140.0,2024-09-26
2024092605013453,VLUCL,52,39,50.0,583.0,29150.0,2024-09-26
2024092605013452,SMATA,47,48,10.0,803.1,8031.0,2024-09-26
2024092605013451,SMATA,65,48,40.0,805.0,32200.0,2024-09-26
2024092601018799,SMH,16,29,10.0,1088.0,10880.0,2024-09-26
2024092603013557,SLBBL,100,54,389.0,966.4,375929.6,2024-09-26
2024092605013450,RNLI,37,58,23.0,471.2,10837.6,2024-09-26
2024092605013449,NRN,58,48,22.0,900.0,19800.0,2024-09-26
2024092605013448,NRN,58,32,500.0,899.0,449500.0,2024-09-26
2024092605013447,NRN,58,41,10.0,898.4,8984.0,2024-09-26
2024092605013446,NRN,58,7,100.0,897.9,89790.0,2024-09-26
2024092605013445,NRN,58,13,10.0,897.7,8977.0,2024-09-26
2024092605013444,NRN,58,43,10.0,896.0,8960.0,2024-09-26
2024092605013443,NRN,58,58,10.0,895.0,8950.0,2024-09-26
2024092605013442,NRN,58,47,100.0,895.0,89500.0,2024-09-26
2024092605013441,NRN,58,1,228.0,895.0,204060.0,2024-09-26
2024092605013440,NRN,58,13,10.0,894.5,8945.0,2024-09-26
2024092601018798,RHGCL,41,34,10.0,379.0,3790.0,2024-09-26
2024092601018797,SARBTM,17,59,30.0,711.0,21330.0,2024-09-26
2024092601018796,SARBTM,6,59,50.0,711.0,35550.0,2024-09-26
2024092601018795,SARBTM,21,59,20.0,711.0,14220.0,2024-09-26
2024092604019441,RIDI,16,36,399.0,219.0,87381.0,2024-09-26
2024092604019440,RIDI,84,36,50.0,219.0,10950.0,2024-09-26
2024092604019439,RIDI,57,36,51.0,219.0,11169.0,2024-09-26
2024092603013556,GFCL,58,21,10.0,811.0,8110.0,2024-09-26
2024092605013439,STC,44,39,20.0,5692.0,113840.0,2024-09-26
2024092605013438,STC,44,8,50.0,5691.0,284550.0,2024-09-26
2024092605013437,STC,44,57,10.0,5600.0,56000.0,2024-09-26
2024092605013436,STC,44,49,50.0,5600.0,280000.0,2024-09-26
2024092605013435,STC,44,29,50.0,5600.0,280000.0,2024-09-26
2024092605013434,STC,44,57,10.0,5599.9,55999.0,2024-09-26
2024092605013433,STC,44,39,10.0,5599.0,55990.0,2024-09-26
2024092604019438,NLG,6,44,370.0,1315.0,486550.0,2024-09-26
2024092601018794,SBL,50,50,16.0,326.0,5216.0,2024-09-26
2024092601018793,SBL,50,58,54.0,326.0,17604.0,2024-09-26
2024092601018792,SBL,50,34,150.0,325.9,48885.0,2024-09-26
2024092604019437,UMRH,10,36,45.0,429.0,19305.0,2024-09-26
2024092601018791,RAWA,57,98,10.0,710.1,7101.0,2024-09-26
2024092601018790,MKJC,25,55,45.0,419.0,18855.0,2024-09-26
2024092603013555,SAPDBL,49,57,294.0,501.2,147352.8,2024-09-26
2024092603013554,SAPDBL,57,57,50.0,501.2,25060.0,2024-09-26
