transaction,symbol,buyer,seller,quantity,rate,amount,date
2024050503021277,PFL,62,8,10.0,736.0,7360.0,2024-05-05
2024050501025539,NICA,40,28,50.0,349.0,17450.0,2024-05-05
2024050501025538,NICA,42,28,150.0,349.0,52350.0,2024-05-05
2024050503021276,NLIC,58,22,20.0,587.0,11740.0,2024-05-05
2024050501025537,MEHL,58,58,10.0,305.2,3052.0,2024-05-05
2024050501025536,DOLTI,28,25,300.0,493.0,147900.0,2024-05-05
2024050504008880,NGPL,68,80,500.0,304.8,152400.0,2024-05-05
2024050504008879,SGIC,48,35,40.0,525.0,21000.0,2024-05-05
2024050501025535,CITY,68,11,10.0,578.0,5780.0,2024-05-05
2024050503021275,PFL,43,35,650.0,665.1,432315.0,2024-05-05
2024050501025534,BHPL,35,58,10.0,519.0,5190.0,2024-05-05
2024050501025533,UHEWA,35,33,30.0,397.0,11910.0,2024-05-05
2024050501025532,RNLI,1,26,11.0,426.0,4686.0,2024-05-05
2024050501025531,RNLI,1,58,11.0,426.0,4686.0,2024-05-05
2024050501025530,RNLI,1,49,16.0,426.0,6816.0,2024-05-05
2024050501025529,PPL,69,1,10.0,554.0,5540.0,2024-05-05
2024050503021274,SJLIC,53,53,71.0,411.0,29181.0,2024-05-05
2024050503021273,SJLIC,38,53,24.0,411.0,9864.0,2024-05-05
2024050503021272,SJLIC,26,53,150.0,411.0,61650.0,2024-05-05
2024050503021271,SJLIC,51,53,20.0,411.0,8220.0,2024-05-05
2024050503021270,SJLIC,57,53,30.0,411.0,12330.0,2024-05-05
2024050503021269,SJLIC,43,53,50.0,411.1,20555.0,2024-05-05
2024050503021268,SJLIC,45,53,100.0,411.2,41120.0,2024-05-05
2024050503021267,SJLIC,14,53,50.0,411.2,20560.0,2024-05-05
2024050503021266,SJLIC,56,53,100.0,411.2,41120.0,2024-05-05
2024050505004819,NIFRA,47,4,54.0,196.1,10589.4,2024-05-05
2024050503021265,CFCL,50,28,10.0,386.0,3860.0,2024-05-05
2024050501025528,MKHC,44,34,10.0,320.0,3200.0,2024-05-05
2024050503021264,SWBBL,44,44,10.0,764.0,7640.0,2024-05-05
2024050505004818,STC,44,13,10.0,4360.0,43600.0,2024-05-05
2024050503021263,NABBC,33,51,103.0,427.1,43991.3,2024-05-05
2024050503021262,NABBC,48,51,140.0,427.2,59808.0,2024-05-05
2024050503021261,NABBC,26,51,257.0,427.5,109867.5,2024-05-05
2024050504008878,UMHL,41,40,23.0,235.0,5405.0,2024-05-05
2024050501025527,MHCL,8,45,10.0,382.0,3820.0,2024-05-05
2024050501025526,SCB,4,39,10.0,516.3,5163.0,2024-05-05
2024050503021260,KSBBL,72,42,100.0,364.0,36400.0,2024-05-05
2024050503021259,EDBL,43,84,50.0,368.0,18400.0,2024-05-05
2024050501025525,NICA,14,36,10.0,350.0,3500.0,2024-05-05
2024050503021258,ALBSL,28,19,150.0,790.0,118500.0,2024-05-05
2024050503021257,ALBSL,26,19,100.0,790.0,79000.0,2024-05-05
2024050503021256,ALBSL,57,19,10.0,790.0,7900.0,2024-05-05
2024050503021255,ALBSL,19,19,10.0,790.1,7901.0,2024-05-05
2024050503021254,ALBSL,57,19,10.0,793.8,7938.0,2024-05-05
2024050501025524,MEHL,43,48,11.0,305.8,3363.8,2024-05-05
2024050503021253,NADEP,64,34,10.0,764.9,7649.0,2024-05-05
2024050503021252,CFCL,43,28,10.0,386.0,3860.0,2024-05-05
2024050503021251,SIFC,36,42,10.0,419.0,4190.0,2024-05-05
2024050501025523,SMJC,41,71,10.0,349.2,3492.0,2024-05-05
2024050504008877,UMRH,56,57,60.0,330.0,19800.0,2024-05-05
2024050501025522,RFPL,56,86,50.0,345.0,17250.0,2024-05-05
2024050503021250,SIFC,17,42,10.0,419.0,4190.0,2024-05-05
2024050503021249,MDB,62,17,2539.0,440.0,1117160.0,2024-05-05
2024050503021248,MDB,62,17,361.0,440.0,158840.0,2024-05-05
2024050501025521,RAWA,6,18,60.0,473.8,28428.0,2024-05-05
2024050501025520,RAWA,6,58,40.0,473.7,18948.0,2024-05-05
2024050505004817,NBF2,51,6,1125.0,8.25,9281.25,2024-05-05
2024050503021247,NMBMF,88,32,17.0,643.0,10931.0,2024-05-05
2024050503021246,NMBMF,88,48,93.0,640.0,59520.0,2024-05-05
2024050503021245,JFL,26,11,150.0,514.0,77100.0,2024-05-05
2024050501025519,AVYAN,38,34,10.0,778.9,7789.0,2024-05-05
2024050503021244,NUBL,38,21,20.0,668.0,13360.0,2024-05-05
2024050503021243,NUBL,38,45,25.0,668.0,16700.0,2024-05-05
2024050503021242,NUBL,38,50,230.0,665.0,152950.0,2024-05-05
