date,close,open,high,low,volume,symbol
2022-12-04,896.3522,896.3522,905.0971,896.3522,1005,MSLB
2022-12-04,7.18,7.12,7.28,7.12,4700,MMF1
2022-12-04,154.5455,156.9697,158.1818,154.5455,4579,JOSHI
2022-12-04,232.0,237.0,238.0,232.0,5918,SAPDBL
2022-12-04,910.7,915.0,915.0,910.7,20,WNLB
2022-12-04,270.0,280.5,280.5,265.0,20263,SFCL
2022-12-04,155.5,154.5,158.5,154.5,3129,HURJA
2022-12-04,172.5,170.1,175.0,167.0,3532,DORDI
2022-12-04,279.1619,278.7095,281.4242,277.8046,4274,BPCL
2022-12-04,193.9052,193.9052,197.8094,193.9052,6475,RADHI
2022-12-04,7.6477,7.6477,7.7689,7.6477,4500,SIGS2
2022-12-04,202.7157,199.9576,207.7721,199.9576,54491,UPCL
2022-12-04,287.5851,281.3138,291.1687,281.3138,5470,MHL
2022-12-04,273.9848,269.6081,275.7355,269.6081,20636,SADBL
2022-12-04,6.9368,6.9723,6.9723,6.8478,2100,NICSF
2022-12-04,624.2373,625.9498,637.0816,624.066,1657,RURU
2022-12-04,350.2128,331.0228,351.416,331.0228,55817,ALICL
2022-12-04,7.12,7.11,7.12,7.11,700,SLCF
2022-12-04,500.391,496.9224,517.4505,494.1617,100160,FMDBL
2022-12-04,295.0,295.0,302.0,289.2,6218,PROFL
2022-12-04,409.3832,407.6309,416.8533,407.6309,10202,ICFC
2022-12-04,1030.0,1043.0,1060.8,1006.2,846,MLBS
2022-12-04,800.7259,806.3847,806.7384,797.8964,11875,CBBL
2022-12-04,7.7601,7.7601,7.7601,7.7601,1145,SEF
2022-12-04,7.7067,7.4422,7.7067,7.1589,4222,GIBF1
2022-12-04,266.1142,264.3885,270.5646,263.3895,6054,GVL
2022-12-04,706.6222,738.6686,745.0778,704.4591,221582,NABIL
2022-12-04,259.0,259.1,265.2,251.0,9225,SGHC
2022-12-04,188.1,187.0,191.0,186.3,3518,KKHC
2022-12-04,217.7865,217.8666,218.6676,216.2647,94386,SANIMA
2022-12-04,482.3183,505.573,505.573,481.4571,6133,SPIL
2022-12-04,2955.0476,2954.2596,2986.5681,2935.3473,2817,STC
2022-12-04,257.0,264.0,264.0,254.0,17064,HPPL
2022-12-04,608.0,600.0,616.0,600.0,3125,GBLBS
2022-12-04,322.1085,318.5079,324.0472,315.7383,1871,TRH
2022-12-04,947.0,946.1,947.0,942.0,1782,NIBD2082
2022-12-04,765.3433,731.1127,765.3433,722.9649,25481,LICN
2022-12-04,249.0806,249.1772,250.143,244.3482,28836,NMB
2022-12-04,305.533,300.1361,305.533,295.9579,4805,BHDC
2022-12-04,268.0,273.0,274.0,264.8,6637,NFS
2022-12-04,311.8728,313.3509,313.3509,305.4678,9756,CFCL
2022-12-04,221.4095,217.3604,221.4095,213.6558,1055,HEIP
2022-12-04,521.0249,518.869,529.3613,517.5035,1917,SWMF
2022-12-04,608.519,607.6108,613.0602,601.2531,2665,NMBMF
2022-12-04,458.0,459.0,470.0,456.7,9791,GFCL
2022-12-04,1123.5022,1122.7887,1125.8809,1122.7887,82,SMFBS
2022-12-04,227.8,221.1,227.9,221.1,4535,SJCL
2022-12-04,1398.9867,1359.8846,1469.3705,1359.8846,451,JSLBB
2022-12-04,262.0154,256.056,262.0154,254.9725,12971,NICL
2022-12-04,279.1672,278.2079,282.0452,276.2892,18047,JBBL
2022-12-04,364.6563,359.2586,368.9037,359.2586,5021,SCB
2022-12-04,551.5302,550.4471,557.0231,549.2866,46292,NICA
2022-12-04,3275.0177,3316.9156,3341.8548,3252.0736,344,BBC
2022-12-04,153.4862,154.9169,156.8245,153.0093,63839,NGPL
2022-12-04,17258.8584,17185.1584,17258.8584,17180.4938,60,UNL
2022-12-04,321.8,298.4,321.8,298.4,70,DLBS
2022-12-04,347.9447,345.1611,347.9447,339.6868,7277,IGI
2022-12-04,853.7159,858.6143,858.6143,841.8199,500,SMB
2022-12-04,176.95,175.5,185.25,169.6,10881,BHL
2022-12-04,182.1,185.7,195.0,182.0,31989,SSHL
2022-12-04,7.44,7.35,7.44,7.26,2937,SBCF
2022-12-04,292.9378,292.0392,294.7349,292.0392,2591,HBL
2022-12-04,158.5,162.0,162.0,156.85,3652,CHL
2022-12-04,234.8182,236.6893,238.6539,233.8827,64433,NIMB
2022-12-04,271.6881,278.8252,279.7769,271.6881,1775,CORBL
2022-12-04,232.5,229.0,238.1,225.0,21920,RFPL
2022-12-04,278.2,273.0,295.0,273.0,1840,NYADI
2022-12-04,166.75,168.7,170.0,166.5,2120,SHEL
2022-12-04,302.5351,310.5089,310.5089,299.2518,5083,GMFIL
2022-12-04,197.3576,194.5408,199.6464,194.5408,10462,MBL
2022-12-04,226.0,220.0,227.0,220.0,9131,HHL
2022-12-04,289.5212,281.9292,290.0893,280.2765,18076,NLG
2022-12-04,540.5,548.9,553.0,538.1,21946,GUFL
2022-12-04,217.0,213.0,218.2,208.0,18746,MBJC
2022-12-04,484.8158,485.0528,488.1332,481.0245,80102,SHIVM
2022-12-04,7.2362,7.3904,7.3904,7.2181,5600,NBF2
2022-12-04,927.2832,912.5781,935.0682,912.5781,278,LLBS
2022-12-04,360.0124,348.1502,368.4027,348.1502,14335,SIKLES
2022-12-04,86.3237,86.5874,86.5874,85.2688,23192,HIDCLP
2022-12-04,288.1966,274.1745,288.1966,270.7278,13321,UAIL
2022-12-04,1922.8845,1939.6929,1956.5014,1909.4377,6193,JBLB
2022-12-04,705.7264,707.3908,707.3908,682.4241,2748,VLBS
2022-12-04,636.6098,635.699,647.5387,632.9668,16797,NRIC
2022-12-04,228.0,230.0,234.6,225.5,21721,RHPL
2022-12-04,830.2,833.1,837.0,821.0,150,PBD88
2022-12-04,291.5534,296.9253,296.9253,290.2538,18167,LBBL
2022-12-04,650.68,628.0986,652.3527,619.7351,5238,MERO
2022-12-04,157.0,155.0,158.5,154.05,11536,RHGCL
2022-12-04,720.0741,739.0684,739.0684,715.6631,1691,HLBSL
2022-12-04,895.0,875.0,900.0,875.0,518,USLB
2022-12-04,309.0,314.2,314.2,307.0,20520,EDBL
2022-12-04,187.5,187.0,191.0,186.2,40718,KBL
2022-12-04,130.8,130.8,132.4,130.8,15080,AKJCL
2022-12-04,192.9328,194.4241,195.7289,192.0008,43319,PRVU
2022-12-04,490.6555,451.8947,490.6555,451.8947,2871,OHL
2022-12-04,344.2503,340.2474,346.572,338.246,12230,MNBBL
2022-12-04,7.75,7.6,7.75,7.6,9660,NBF3
2022-12-04,2969.6985,3226.069,3289.0679,2957.4487,25164,NESDO
2022-12-04,135.0333,137.0333,137.0333,134.3333,21970,GHL
2022-12-04,376.6346,378.4055,381.5448,375.9102,17169,EBL
2022-12-04,176.3186,173.9731,179.473,173.9731,41093,SHL
2022-12-04,419.1582,418.0755,433.0786,416.0648,12248,RSDC
2022-12-04,378.28,374.9727,387.3973,367.5537,6042,PRIN
2022-12-04,10300.0,10250.0,10300.0,10250.0,40,RBCLPO
2022-12-04,1115.1304,1077.0271,1115.1304,1077.0271,112,SLBSL
2022-12-04,292.227,286.7343,292.4132,286.7343,2936,SIFC
2022-12-04,157.0,156.0,157.5,155.0,6142,BARUN
2022-12-04,322.0,317.0,322.0,316.5,5550,BFC
2022-12-04,6.8679,6.8078,6.9795,6.8078,2700,KDBY
2022-12-04,278.852,278.852,280.5733,277.1306,19156,SBL
2022-12-04,411.0,409.7,420.0,409.7,1540,SPC
2022-12-04,802.0,800.0,805.0,800.0,172,GMFBS
2022-12-04,271.317,271.317,272.9614,265.9729,4033,NHDL
2022-12-04,761.6227,748.2348,784.6796,748.2348,10907,DDBL
2022-12-04,1919.5439,1947.314,1948.2884,1917.108,16867,HDL
2022-12-04,182.5333,181.2667,184.6667,179.7333,6913,LEC
2022-12-04,747.2433,732.2984,761.2541,719.2216,590,MATRI
2022-12-04,13111.191,12907.8096,13111.191,12505.1933,710,BNT
2022-12-04,673.6807,670.3165,683.6892,670.3165,50,GLBSL
2022-12-04,211.1417,210.7719,214.4696,209.5701,31678,PCBL
2022-12-04,721.0,713.0,727.9,713.0,395,ACLBSL
2022-12-04,234.9192,237.8621,237.8621,230.3576,1640,KPCL
2022-12-04,6.7758,6.7758,6.7758,6.7758,100,LUK
2022-12-04,217.998,216.4122,220.1435,213.8004,18019,NIMBPO
2022-12-04,172.84,169.6545,175.4871,169.6545,51412,AHPC
2022-12-04,687.9629,697.1561,708.6477,681.834,372,KMCDB
2022-12-04,233.0325,229.4056,235.3406,229.4056,35603,SHPC
2022-12-04,6.5674,6.4182,6.5674,6.4182,2600,PSF
2022-12-04,228.5,227.75,230.0,226.5,30323,AKPL
2022-12-04,329.6293,341.1615,344.0446,327.8033,15406,PFL
2022-12-04,287.9098,287.1593,293.6323,287.1593,10721,RLFL
2022-12-04,6.7515,6.677,6.8261,6.677,5050,KEF
2022-12-04,390.0,383.0,395.9,383.0,5470,JFL
2022-12-04,575.4261,586.3717,586.3717,575.4261,106,SMATA
2022-12-04,178.2799,179.2561,179.2561,175.7064,10640,LSL
2022-12-04,242.0,240.0,243.5,238.0,27366,UPPER
2022-12-04,253.0,248.0,261.9,243.0,4961,GLH
2022-12-04,1849.4602,1890.3089,1890.3089,1845.2344,3564,FOWAD
2022-12-04,746.0,746.0,746.0,746.0,25,EBLD86
