date,close,open,high,low,volume,symbol
2022-11-23,171.6232,172.3685,174.232,171.4368,14958,CZBIL
2022-11-23,761.0462,775.4141,775.4141,759.9819,294,MLBBL
2022-11-23,257.0,263.0,263.0,257.0,730,SINDU
2022-11-23,320.736,321.3376,323.6837,317.7282,3831,ALICL
2022-11-23,1000.0,1002.0,1007.0,995.0,1955,CGH
2022-11-23,742.2,742.2,742.2,742.2,15,EBLD86
2022-11-23,6.7992,6.7391,6.8679,6.7391,3300,KDBY
2022-11-23,169.4667,169.2,173.3333,169.2,50093,NHPC
2022-11-23,336.6448,336.2445,337.8457,333.8428,11111,MNBBL
2022-11-23,850.0,850.0,850.0,850.0,25,CBLD88
2022-11-23,171.05,172.5,172.5,170.5,1085,BHL
2022-11-23,7.7033,7.7033,7.7033,7.7033,200,SEF
2022-11-23,7.1824,7.1552,7.1824,7.137,2855,NICFC
2022-11-23,248.3399,250.1204,250.1204,244.7788,8877,SBI
2022-11-23,7.0487,7.0487,7.0487,7.0487,335,CMF2
2022-11-23,248.0,244.1,252.0,242.1,3030,USHEC
2022-11-23,283.9415,282.0796,285.8034,282.0796,5225,SIFC
2022-11-23,2797.4451,2825.0255,2825.0255,2758.0444,1588,STC
2022-11-23,6.8567,6.7767,6.9368,6.7767,6250,NICSF
2022-11-23,222.0,222.0,222.0,219.0,1067,SAPDBL
2022-11-23,1394.7289,1390.2973,1422.448,1379.8701,117,JSLBB
2022-11-23,660.6357,664.9619,668.9677,658.6328,22316,NABIL
2022-11-23,1044.9,1085.0,1085.0,1027.7,190,MLBS
2022-11-23,283.6431,288.033,288.481,281.3138,5190,MHL
2022-11-23,784.4567,786.5788,792.2376,779.5052,4461,CBBL
2022-11-23,323.5856,323.124,324.0472,318.5079,3465,TRH
2022-11-23,765.0,765.0,765.0,765.0,30,PBD85
2022-11-23,7.26,7.4,7.4,7.26,1600,SLCF
2022-11-23,7.3667,7.5083,7.5083,7.3667,1460,GIBF1
2022-11-23,251.7219,259.3066,259.3066,249.5548,1556,NICL
2022-11-23,155.7576,151.5152,156.0,149.697,8370,JOSHI
2022-11-23,211.4588,215.4637,215.8642,210.6578,19570,SANIMA
2022-11-23,228.8126,232.4913,232.4913,228.0769,844,KPCL
2022-11-23,272.4518,275.3298,275.3298,265.8324,11007,JBBL
2022-11-23,1896.1586,1851.3368,1897.6202,1851.3368,28858,HDL
