open,high,low,close,volume,symbol,date
271.1,271.1,271.1,271.1,,Trading_index,2011-04-06
455.51,455.51,455.51,455.51,,Insurance_index,2011-04-06
316.72,316.72,316.72,316.72,,Finance_index,2011-04-06
312.05,312.05,312.05,312.05,,Banking_index,2011-04-06
,,,,,Sensitive_index,2011-04-06
318.47,318.47,318.47,318.47,,Development%20Bank_index,2011-04-06
364.38,364.38,364.38,364.38,,NEPSE_index,2011-04-06
437.09,437.09,437.09,437.09,,Hotels%20and%20Tourism_index,2011-04-06
676.51,676.51,676.51,676.51,,HydroPower_index,2011-04-06
540.47,540.47,540.47,540.47,,Others_index,2011-04-06
