open,high,low,close,volume,symbol,date
475.87,475.87,475.87,475.87,,Others_index,2012-03-26
257.77,257.77,257.77,257.77,,Finance_index,2012-03-26
220.29,220.29,220.29,220.29,,Trading_index,2012-03-26
251.05,251.05,251.05,251.05,,Banking_index,2012-03-26
438.33,438.33,438.33,438.33,,Hotels%20and%20Tourism_index,2012-03-26
300.79,300.79,300.79,300.79,,NEPSE_index,2012-03-26
235.15,235.15,235.15,235.15,,Development%20Bank_index,2012-03-26
,,,,,Sensitive_index,2012-03-26
382.51,382.51,382.51,382.51,,Insurance_index,2012-03-26
471.58,471.58,471.58,471.58,,HydroPower_index,2012-03-26
