open,high,low,close,volume,symbol,date
,,,,,Sensitive_index,2007-03-04
505.37,505.37,505.37,505.37,,NEPSE_index,2007-03-04
640.96,640.96,640.96,640.96,,Insurance_index,2007-03-04
535.59,535.59,535.59,535.59,,Banking_index,2007-03-04
446.92,446.92,446.92,446.92,,Finance_index,2007-03-04
219.33,219.33,219.33,219.33,,Hotels%20and%20Tourism_index,2007-03-04
152.79,152.79,152.79,152.79,,Trading_index,2007-03-04
505.83,505.83,505.83,505.83,,Development%20Bank_index,2007-03-04
656.17,656.17,656.17,656.17,,Others_index,2007-03-04
