open,high,low,close,volume,symbol,date
178.89,178.89,178.89,178.89,,Trading_index,2014-02-06
760.54,760.54,760.54,760.54,,Banking_index,2014-02-06
1119.05,1119.05,1119.05,1119.05,,Hotels%20and%20Tourism_index,2014-02-06
2283.54,2283.54,2283.54,2283.54,,Insurance_index,2014-02-06
1939.38,1939.38,1939.38,1939.38,,HydroPower_index,2014-02-06
789.49,789.49,789.49,789.49,,Others_index,2014-02-06
785.78,785.78,785.78,785.78,,NEPSE_index,2014-02-06
360.14,360.14,360.14,360.14,,Finance_index,2014-02-06
172.91,172.91,172.91,172.91,,Sensitive_index,2014-02-06
500.99,500.99,500.99,500.99,,Development%20Bank_index,2014-02-06
