open,high,low,close,volume,symbol,date
94.0024,94.1136,92.9852,93.27,1567670000.0,Float_index,2020-01-22
678.6989,679.7654,670.3482,670.34,18594900.0,Others_index,2020-01-22
1324.3241,1325.6965,1310.6457,1313.42,1567670000.0,NEPSE_index,2020-01-22
674.3658,677.6813,670.8147,672.42,86694800.0,Finance_index,2020-01-22
1037.7982,1038.103,1019.388,1021.86,34992200.0,HydroPower_index,2020-01-22
285.3981,285.9532,282.3076,282.3,1605550000.0,Sensitive_index,2020-01-22
94.1882,94.4393,93.1344,93.14,1487180000.0,Sen.%20Float_index,2020-01-22
7017.07,7272.98,6972.29,7173.56,294346000.0,Life%20Insurance_index,2020-01-22
5529.94,5571.32,5463.03,5506.89,381448000.0,Non%20Life%20Insurance_index,2020-01-22
10.2761,10.3142,10.1889,10.21,3009720.0,Mutual%20Fund_index,2020-01-22
1786.6866,1787.3239,1764.3317,1766.93,126785000.0,Development%20Bank_index,2020-01-22
824.843,824.843,795.5012,802.89,5185290.0,Trading_index,2020-01-22
2062.7461,2062.7461,2020.7858,2030.53,3405460.0,Hotels%20and%20Tourism_index,2020-01-22
2040.59,2040.9,2012.64,2030.81,108389000.0,Microfinance_index,2020-01-22
1175.0759,1176.7558,1159.8626,1161.41,892202000.0,Banking_index,2020-01-22
