open,high,low,close,volume,symbol,date
117.52,117.52,117.52,117.52,813587000.0,Float_index,2016-11-22
341.69,341.69,341.69,341.69,713091000.0,Sensitive_index,2016-11-22
1989.99,1989.99,1989.99,1989.99,20961600.0,HydroPower_index,2016-11-22
765.12,765.12,765.12,765.12,11108300.0,Finance_index,2016-11-22
8105.64,8105.64,8105.64,8105.64,223418000.0,Insurance_index,2016-11-22
1477.02,1477.02,1477.02,1477.02,429943000.0,Banking_index,2016-11-22
1582.47,1582.47,1582.47,1582.47,813587000.0,NEPSE_index,2016-11-22
1643.17,1643.17,1643.17,1643.17,111322000.0,Development%20Bank_index,2016-11-22
2086.64,2086.64,2086.64,2086.64,6856120.0,Hotels%20and%20Tourism_index,2016-11-22
753.4,753.4,753.4,753.4,9977650.0,Others_index,2016-11-22
101.43,101.43,101.43,101.43,713091000.0,Sen.%20Float_index,2016-11-22
