open,high,low,close,volume,symbol,date
400.71,400.71,400.71,400.71,,Insurance_index,2012-01-17
322.16,322.16,322.16,322.16,,NEPSE_index,2012-01-17
220.11,220.11,220.11,220.11,,Trading_index,2012-01-17
268.17,268.17,268.17,268.17,,Finance_index,2012-01-17
266.92,266.92,266.92,266.92,,Banking_index,2012-01-17
526.38,526.38,526.38,526.38,,Others_index,2012-01-17
407.23,407.23,407.23,407.23,,Hotels%20and%20Tourism_index,2012-01-17
256.45,256.45,256.45,256.45,,Development%20Bank_index,2012-01-17
,,,,,Sensitive_index,2012-01-17
511.97,511.97,511.97,511.97,,HydroPower_index,2012-01-17
