timestamp,open,high,low,close,volume,symbol,date_unix,date
1763251200.0,1331.52,1334.24,1322.03,1327.4,219286012.5,Banking_index,1763251200.0,2025-11-16
1763251200.0,5256.84,5266.72,5222.59,5236.78,91415787.1,Development%20Bank_index,1763251200.0,2025-11-16
1763251200.0,2265.57,2269.57,2238.72,2243.48,69371590.1,Finance_index,1763251200.0,2025-11-16
1763251200.0,4802.3,4803.81,4770.64,4784.57,191438856.7,Microfinance_index,1763251200.0,2025-11-16
1763251200.0,6305.16,6377.44,6270.51,6333.67,62909236.4,Hotels%20and%20Tourism_index,1763251200.0,2025-11-16
1763251200.0,3311.63,3312.13,3278.13,3288.46,1744026270.8,HydroPower_index,1763251200.0,2025-11-16
1763251200.0,12689.4,12723.7,12614.82,12675.76,146797098.4,Life%20Insurance_index,1763251200.0,2025-11-16
1763251200.0,10593.72,10623.82,10460.95,10541.6,68365494.8,Non%20Life%20Insurance_index,1763251200.0,2025-11-16
1763251200.0,2314.81,2342.97,2293.4,2312.88,297619188.5,Others_index,1763251200.0,2025-11-16
1763251200.0,102.27,102.39,101.47,101.77,323884686.2,Investment_index,1763251200.0,2025-11-16
1763251200.0,2550.18,2550.18,2533.0338,2540.57,3892745600.53,NEPSE_index,1763251200.0,2025-11-16
1763251200.0,174.37,174.3699,173.062,173.61,3420127267.6,Float_index,1763251200.0,2025-11-16
1763251200.0,3798.76,3831.82,3731.1,3794.95,9123291.0,Trading_index,1763251200.0,2025-11-16
1763251200.0,19.88,19.91,19.72,19.84,6761572.73,Mutual%20Fund_index,1763251200.0,2025-11-16
1763251200.0,149.7,149.7022,148.3624,148.93,1326798671.2,Sen.%20Float_index,1763251200.0,2025-11-16
1763251200.0,441.36,441.6012,437.8867,439.44,1326798671.2,Sensitive_index,1763251200.0,2025-11-16
