open,high,low,close,volume,symbol,date
2792.04,2792.04,2733.16,2757.72,8135217.9,Hotels%20and%20Tourism_index,2022-05-31
2482.67,2492.64,2438.15,2454.46,304276237.2,HydroPower_index,2022-05-31
2172.02,2172.0166,2126.3955,2137.92,1317296882.13,NEPSE_index,2022-05-31
9233.51,9239.67,8928.09,8997.09,69036730.2,Non%20Life%20Insurance_index,2022-05-31
148.96,148.9597,145.9135,146.61,1301144440.9,Float_index,2022-05-31
1865.75,1874.46,1812.57,1832.6,7080870.5,Trading_index,2022-05-31
1599.5,1605.41,1553.71,1572.84,40718903.9,Others_index,2022-05-31
1569.2,1581.41,1542.39,1546.74,55958445.2,Finance_index,2022-05-31
15.01,15.09,14.94,15.08,8927643.03,Mutual%20Fund_index,2022-05-31
1515.63,1515.63,1485.2,1488.35,296085980.1,Banking_index,2022-05-31
10472.88,10475.94,10157.68,10401.05,113257320.9,Life%20Insurance_index,2022-05-31
4477.31,4477.31,4397.0,4403.44,149270259.9,Microfinance_index,2022-05-31
422.21,422.2071,413.4644,415.63,503170714.0,Sensitive_index,2022-05-31
3715.61,3744.94,3650.08,3661.35,107931643.3,Development%20Bank_index,2022-05-31
70.2,71.0,68.93,69.45,84984976.5,Investment_index,2022-05-31
135.3,135.299,132.73,133.3,503170714.0,Sen.%20Float_index,2022-05-31
