open,high,low,close,volume,symbol,date
383.96,383.96,383.96,383.96,,Insurance_index,2006-07-20
261.74,261.74,261.74,261.74,,Finance_index,2006-07-20
,,,,,Sensitive_index,2006-07-20
395.89,395.89,395.89,395.89,,NEPSE_index,2006-07-20
148.11,148.11,148.11,148.11,,Trading_index,2006-07-20
408.3,408.3,408.3,408.3,,Others_index,2006-07-20
292.61,292.61,292.61,292.61,,Development%20Bank_index,2006-07-20
180.77,180.77,180.77,180.77,,Hotels%20and%20Tourism_index,2006-07-20
451.84,451.84,451.84,451.84,,Banking_index,2006-07-20
