open,high,low,close,volume,symbol,date
182.83,182.83,182.83,182.83,,Trading_index,2014-06-01
1812.62,1812.62,1812.62,1812.62,,Hotels%20and%20Tourism_index,2014-06-01
2646.03,2646.03,2646.03,2646.03,,HydroPower_index,2014-06-01
569.9,569.9,569.9,569.9,,Development%20Bank_index,2014-06-01
3562.98,3562.98,3562.98,3562.98,,Insurance_index,2014-06-01
869.18,869.18,869.18,869.18,,NEPSE_index,2014-06-01
49.87,49.87,49.87,49.87,,Sen.%20Float_index,2014-06-01
761.29,761.29,761.29,761.29,,Others_index,2014-06-01
758.48,758.48,758.48,758.48,,Banking_index,2014-06-01
185.91,185.91,185.91,185.91,,Sensitive_index,2014-06-01
60.15,60.15,60.15,60.15,,Float_index,2014-06-01
419.56,419.56,419.56,419.56,,Finance_index,2014-06-01
