open,high,low,close,volume,symbol,date
1112.8734,1113.7375,1110.9802,1111.99,204479000.0,NEPSE_index,2019-12-02
1018.269,1021.4669,1017.8089,1019.05,90001300.0,Banking_index,2019-12-02
246.1449,246.4578,245.5234,245.71,210240000.0,Sensitive_index,2019-12-02
915.3407,918.6974,912.2123,915.6,14892000.0,HydroPower_index,2019-12-02
1520.3502,1522.7108,1512.8847,1517.07,56606800.0,Development%20Bank_index,2019-12-02
431.1515,450.9482,425.3445,450.94,8887210.0,Trading_index,2019-12-02
82.7629,82.8683,82.6589,82.74,204479000.0,Float_index,2019-12-02
1474.3,1476.51,1468.97,1472.96,43399100.0,Microfinance_index,2019-12-02
557.2428,558.2605,555.4023,556.63,29423600.0,Finance_index,2019-12-02
8.9535,9.1019,8.9504,8.95,444197.0,Mutual%20Fund_index,2019-12-02
1753.8847,1765.3989,1742.5279,1742.52,1321280.0,Hotels%20and%20Tourism_index,2019-12-02
3950.92,3968.61,3936.5,3947.21,24703400.0,Non%20Life%20Insurance_index,2019-12-02
5104.7,5104.7,4989.84,5018.19,16862100.0,Life%20Insurance_index,2019-12-02
646.509,646.509,637.7963,642.25,2520900.0,Others_index,2019-12-02
79.258,79.4497,79.1726,79.17,179497000.0,Sen.%20Float_index,2019-12-02
