open,high,low,close,volume,symbol,date
421.31,421.31,421.31,421.31,,Insurance_index,2011-05-24
303.1,303.1,303.1,303.1,,Banking_index,2011-05-24
341.56,341.56,341.56,341.56,,NEPSE_index,2011-05-24
400.36,400.36,400.36,400.36,,Hotels%20and%20Tourism_index,2011-05-24
468.82,468.82,468.82,468.82,,Others_index,2011-05-24
298.43,298.43,298.43,298.43,,Development%20Bank_index,2011-05-24
,,,,,Sensitive_index,2011-05-24
265.96,265.96,265.96,265.96,,Trading_index,2011-05-24
303.33,303.33,303.33,303.33,,Finance_index,2011-05-24
576.2,576.2,576.2,576.2,,HydroPower_index,2011-05-24
