open,high,low,close,volume,symbol,date
967.58,967.58,967.58,967.58,,Development%20Bank_index,2009-02-09
830.27,830.27,830.27,830.27,,HydroPower_index,2009-02-09
668.82,668.82,668.82,668.82,,NEPSE_index,2009-02-09
641.84,641.84,641.84,641.84,,Banking_index,2009-02-09
,,,,,Sensitive_index,2009-02-09
648.77,648.77,648.77,648.77,,Insurance_index,2009-02-09
795.54,795.54,795.54,795.54,,Finance_index,2009-02-09
682.61,682.61,682.61,682.61,,Others_index,2009-02-09
366.8,366.8,366.8,366.8,,Hotels%20and%20Tourism_index,2009-02-09
217.93,217.93,217.93,217.93,,Trading_index,2009-02-09
