open,high,low,close,volume,symbol,date
243.89,243.89,243.89,243.89,,Banking_index,2004-08-04
230.2,230.2,230.2,230.2,,NEPSE_index,2004-08-04
142.13,142.13,142.13,142.13,,Others_index,2004-08-04
238.1,238.1,238.1,238.1,,Insurance_index,2004-08-04
95.17,95.17,95.17,95.17,,Trading_index,2004-08-04
199.19,199.19,199.19,199.19,,Development%20Bank_index,2004-08-04
185.55,185.55,185.55,185.55,,Hotels%20and%20Tourism_index,2004-08-04
200.99,200.99,200.99,200.99,,Finance_index,2004-08-04
,,,,,Sensitive_index,2004-08-04
