open,high,low,close,volume,symbol,date
181.34,181.34,181.34,181.34,,Hotels%20and%20Tourism_index,2006-04-04
334.15,334.15,334.15,334.15,,NEPSE_index,2006-04-04
338.79,338.79,338.79,338.79,,Others_index,2006-04-04
268.63,268.63,268.63,268.63,,Development%20Bank_index,2006-04-04
,,,,,Sensitive_index,2006-04-04
141.29,141.29,141.29,141.29,,Trading_index,2006-04-04
246.2,246.2,246.2,246.2,,Finance_index,2006-04-04
346.49,346.49,346.49,346.49,,Insurance_index,2006-04-04
369.91,369.91,369.91,369.91,,Banking_index,2006-04-04
