open,high,low,close,volume,symbol,date
,,,,,Sensitive_index,2011-03-21
655.75,655.75,655.75,655.75,,HydroPower_index,2011-03-21
536.95,536.95,536.95,536.95,,Others_index,2011-03-21
335.46,335.46,335.46,335.46,,Banking_index,2011-03-21
271.1,271.1,271.1,271.1,,Trading_index,2011-03-21
379.46,379.46,379.46,379.46,,NEPSE_index,2011-03-21
320.28,320.28,320.28,320.28,,Finance_index,2011-03-21
456.11,456.11,456.11,456.11,,Hotels%20and%20Tourism_index,2011-03-21
332.87,332.87,332.87,332.87,,Development%20Bank_index,2011-03-21
466.13,466.13,466.13,466.13,,Insurance_index,2011-03-21
