open,high,low,close,volume,symbol,date
159.06,165.8681,159.0599,165.23,2195885680.8,Float_index,2022-04-24
2585.69,2783.97,2585.69,2772.61,573932647.7,HydroPower_index,2022-04-24
444.74,463.2242,444.3237,460.88,2025767112.0,Sensitive_index,2022-04-24
1578.37,1615.11,1573.83,1611.07,584512842.8,Banking_index,2022-04-24
12612.57,13103.64,12602.76,13035.94,235529518.4,Life%20Insurance_index,2022-04-24
4013.07,4305.98,4006.17,4258.35,204099523.4,Development%20Bank_index,2022-04-24
2331.51,2430.2827,2331.5145,2420.96,2530753308.05,NEPSE_index,2022-04-24
3002.21,3111.99,2988.1,3087.14,18942832.5,Hotels%20and%20Tourism_index,2022-04-24
10528.81,11013.64,10528.81,10961.93,118992940.2,Non%20Life%20Insurance_index,2022-04-24
15.0,15.32,14.99,15.31,6623404.35,Mutual%20Fund_index,2022-04-24
76.19,80.77,76.17,80.46,144889654.2,Investment_index,2022-04-24
1673.8,1822.01,1673.7,1814.71,140130230.4,Finance_index,2022-04-24
4727.31,4921.79,4722.84,4905.48,225127470.5,Microfinance_index,2022-04-24
1786.23,1888.6,1786.23,1874.99,57531231.4,Others_index,2022-04-24
2176.93,2232.88,2176.93,2199.73,14781138.0,Trading_index,2022-04-24
142.06,148.2928,141.8881,147.53,1421436317.8,Sen.%20Float_index,2022-04-24
