open,high,low,close,volume,symbol,date
421.06,421.06,421.06,421.06,,Insurance_index,2006-12-11
290.01,290.01,290.01,290.01,,Finance_index,2006-12-11
486.19,486.19,486.19,486.19,,Development%20Bank_index,2006-12-11
149.71,149.71,149.71,149.71,,Trading_index,2006-12-11
185.45,185.45,185.45,185.45,,Hotels%20and%20Tourism_index,2006-12-11
,,,,,Sensitive_index,2006-12-11
485.71,485.71,485.71,485.71,,NEPSE_index,2006-12-11
598.1,598.1,598.1,598.1,,Others_index,2006-12-11
556.71,556.71,556.71,556.71,,Banking_index,2006-12-11
