open,high,low,close,volume,symbol,date
722.53,722.53,722.53,722.53,,Others_index,2015-07-22
68.74,68.74,68.74,68.74,,Float_index,2015-07-22
204.9,204.9,204.9,204.9,,Sensitive_index,2015-07-22
835.74,835.74,835.74,835.74,,Banking_index,2015-07-22
2200.67,2200.67,2200.67,2200.67,,HydroPower_index,2015-07-22
202.88,202.88,202.88,202.88,,Trading_index,2015-07-22
4146.05,4146.05,4146.05,4146.05,,Insurance_index,2015-07-22
524.47,524.47,524.47,524.47,,Finance_index,2015-07-22
963.27,963.27,963.27,963.27,,NEPSE_index,2015-07-22
837.83,837.83,837.83,837.83,,Development%20Bank_index,2015-07-22
57.3,57.3,57.3,57.3,,Sen.%20Float_index,2015-07-22
1911.12,1911.12,1911.12,1911.12,,Hotels%20and%20Tourism_index,2015-07-22
