open,high,low,close,volume,symbol,date
251.67,251.67,251.67,251.67,,Finance_index,2013-04-11
523.38,523.38,523.38,523.38,,NEPSE_index,2013-04-11
525.09,525.09,525.09,525.09,,Banking_index,2013-04-11
,,,,,Sensitive_index,2013-04-11
904.62,904.62,904.62,904.62,,Insurance_index,2013-04-11
687.3,687.3,687.3,687.3,,Others_index,2013-04-11
250.79,250.79,250.79,250.79,,Development%20Bank_index,2013-04-11
640.35,640.35,640.35,640.35,,Hotels%20and%20Tourism_index,2013-04-11
160.36,160.36,160.36,160.36,,Trading_index,2013-04-11
1035.04,1035.04,1035.04,1035.04,,HydroPower_index,2013-04-11
