open,high,low,close,volume,symbol,date
490.37,490.37,490.37,490.37,,NEPSE_index,2012-12-04
1010.4,1010.4,1010.4,1010.4,,HydroPower_index,2012-12-04
264.74,264.74,264.74,264.74,,Finance_index,2012-12-04
,,,,,Sensitive_index,2012-12-04
735.47,735.47,735.47,735.47,,Insurance_index,2012-12-04
176.32,176.32,176.32,176.32,,Trading_index,2012-12-04
455.6,455.6,455.6,455.6,,Banking_index,2012-12-04
781.27,781.27,781.27,781.27,,Others_index,2012-12-04
633.05,633.05,633.05,633.05,,Hotels%20and%20Tourism_index,2012-12-04
253.91,253.91,253.91,253.91,,Development%20Bank_index,2012-12-04
