open,high,low,close,volume,symbol,date
815.82,815.82,815.82,815.82,,Insurance_index,2013-01-28
,,,,,Sensitive_index,2013-01-28
996.42,996.42,996.42,996.42,,HydroPower_index,2013-01-28
248.49,248.49,248.49,248.49,,Development%20Bank_index,2013-01-28
694.47,694.47,694.47,694.47,,Hotels%20and%20Tourism_index,2013-01-28
514.33,514.33,514.33,514.33,,NEPSE_index,2013-01-28
251.77,251.77,251.77,251.77,,Finance_index,2013-01-28
494.95,494.95,494.95,494.95,,Banking_index,2013-01-28
173.28,173.28,173.28,173.28,,Trading_index,2013-01-28
767.17,767.17,767.17,767.17,,Others_index,2013-01-28
